_id,Nummer,Name,Breitengrad,Längengrad,Standorttyp,Koordinaten,Kunden-ID,Objektmanager-ID,Vorname,Nachname,Status,Rechnungsempfänger-IDs,Tags,Straße,PLZ,Stadt,Land,Gehalt,Fahrtzeitenerfassung erlaubt,lastModified,Schlüssel,Beschreibung,Sicherheitscode,Enddatum,Startdatum,lead_id
66057259246a15c2690220aa,10159,GPVA Kaiser-Friedrich Pauschal,"52,5181352","13,3004914",Point,"[13.300491399999999,52.518135199999996]",6605725897f9eecb7f08b78e,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Kaiser-Friedrich-Str. 103  ,10585,Berlin,Deutschland,0,false,02.07.2024 11:15:17,,,,,,
660bd1497673355d2d0157eb,10160,Horbach Wirtschaftsberatung GmbH Pauschal,"52,5026347","13,3384821",Point,"[13.3384821,52.502634699999994]",660bd149211b33d92606c850,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Nürnberger Str. 14/15,10789,Berlin,Deutschland,0,false,02.07.2024 11:18:49,,,,,,
660ea83fd03bcb39f309690f,100010,Esanum Schönhauser Allee 45A,"52,5416202","13,4125908",Point,"[13.4125908,52.5416202]",64ea3180505d5c087b02c20a,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],,Schönhauser Allee 45A,10437,Berlin,Deutschland,,false,04.04.2024 16:30:53,,,,,,
eb93911c-6bca-43ff-801b-78592123c253,,Einhorn,,,,,,,,,0,,,Skalitzer Straße 100,,Berlin,,,,09.04.2024 10:11:03,,,,,,
66153a9225b0362981009ade,100011,Matthäi Bauunternehmen GmbH & Co. KG Toby Perlbach Pauschal,"52,5320505","13,4128709",Point,"[13.4128709,52.5320505]",66153a913e38aaefb607e4bc,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Senefelderplatz,10405,Berlin,Deutschland,0,false,03.05.2024 11:37:52,,,,,,
66163ca5c50fa7ab530beef7,10163,Playground gGmbH Kita,"52,5128149","13,4480055",Point,"[13.448005499999999,52.512814899999995]",66163ca4e2a556f86c0f1548,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Gubenerstraße 51,10243,Berlin,Deutschland,0,false,06.06.2024 08:29:03,,,,,,
661685ba24cf5bb13504349e,10163,Playground gGmbH Krippe,"52,5128149","13,4480055",Point,"[13.448005499999999,52.512814899999995]",66163ca4e2a556f86c0f1548,63775f7364a9c65fa6587f8b,Mäysel,Jahn,1,[],[],Gubenerstr. 51,10243,Berlin,Deutschland,0,false,06.06.2024 08:29:04,,,,,,
5c2804e6-7334-4e79-8ee9-6be72353e7ff,,Helix hub,,,,,,,,,0,,,,,Berlin,,,,12.04.2024 08:20:48,,,,,,
ca54da3d-2aeb-4787-80a2-8c53d88b1836,,Test,,,,,,,,,0,,,,,Berlin,,,,20.04.2024 11:49:30,,,,,,660ea83fd03bcb39f309690f
8e23fb06-142a-42f5-85f6-9c5f705448fe,,Reni Belyovska Store,,,,,,,,,0,,,Torstraße 159,,Berlin,,,,22.04.2024 12:31:02,,,,,,
